
==================== New Training Session: Wed Feb 11 08:31:18 2026 ====================
Epoch: 19 | loss_cls: 8.65904 | loss_clst: 0.15073 | loss_orth: 0.00387 | loss_sep: -0.06294 | loss_struc: 0.00797 | test_acc: 83.28205 | test_loss: 0.61750 | test_mf1: 75.97657 | train_acc: 93.96101 | train_loss: 8.75867 | val_acc: 88.96166 | val_loss: 0.37745 | val_mf1: 80.96993
Epoch: 20 | loss_cls: 7.67925 | loss_clst: 0.14044 | loss_orth: 0.00372 | loss_sep: -0.05911 | loss_struc: 0.00773 | test_acc: 84.51282 | test_loss: 0.58157 | test_mf1: 76.93823 | train_acc: 94.61991 | train_loss: 7.77204 | val_acc: 88.98093 | val_loss: 0.42880 | val_mf1: 80.35774
Epoch: 21 | loss_cls: 6.73157 | loss_clst: 0.15149 | loss_orth: 0.00361 | loss_sep: -0.06422 | loss_struc: 0.00756 | test_acc: 82.56410 | test_loss: 0.61928 | test_mf1: 74.91495 | train_acc: 95.27881 | train_loss: 6.83001 | val_acc: 88.88461 | val_loss: 0.41221 | val_mf1: 81.99746
Epoch: 22 | loss_cls: 6.15731 | loss_clst: 0.13882 | loss_orth: 0.00352 | loss_sep: -0.05903 | loss_struc: 0.00752 | test_acc: 81.38462 | test_loss: 0.63867 | test_mf1: 76.60264 | train_acc: 95.60553 | train_loss: 6.24814 | val_acc: 86.32248 | val_loss: 0.46567 | val_mf1: 81.06430
Epoch: 23 | loss_cls: 5.31891 | loss_clst: 0.13825 | loss_orth: 0.00343 | loss_sep: -0.05741 | loss_struc: 0.00726 | test_acc: 84.56410 | test_loss: 0.54913 | test_mf1: 78.97074 | train_acc: 96.34067 | train_loss: 5.41044 | val_acc: 88.15257 | val_loss: 0.42195 | val_mf1: 81.71443
Epoch: 24 | loss_cls: 4.69829 | loss_clst: 0.13789 | loss_orth: 0.00333 | loss_sep: -0.05757 | loss_struc: 0.00693 | test_acc: 83.38462 | test_loss: 0.67735 | test_mf1: 76.56166 | train_acc: 96.78175 | train_loss: 4.78887 | val_acc: 88.92314 | val_loss: 0.42783 | val_mf1: 81.78236
Epoch: 25 | loss_cls: 4.06166 | loss_clst: 0.14049 | loss_orth: 0.00326 | loss_sep: -0.06206 | loss_struc: 0.00679 | test_acc: 82.87179 | test_loss: 0.73173 | test_mf1: 75.85891 | train_acc: 97.28817 | train_loss: 4.15014 | val_acc: 88.71123 | val_loss: 0.45545 | val_mf1: 81.27130
Epoch: 26 | loss_cls: 3.54891 | loss_clst: 0.13694 | loss_orth: 0.00316 | loss_sep: -0.05917 | loss_struc: 0.00661 | test_acc: 82.76923 | test_loss: 0.77919 | test_mf1: 75.05432 | train_acc: 97.57134 | train_loss: 3.63645 | val_acc: 87.69023 | val_loss: 0.51590 | val_mf1: 79.66341
Epoch: 27 | loss_cls: 3.26458 | loss_clst: 0.14351 | loss_orth: 0.00308 | loss_sep: -0.06411 | loss_struc: 0.00650 | test_acc: 83.84615 | test_loss: 0.75646 | test_mf1: 76.68484 | train_acc: 97.80549 | train_loss: 3.35356 | val_acc: 86.90040 | val_loss: 0.50063 | val_mf1: 80.41484
Epoch: 28 | loss_cls: 3.21939 | loss_clst: 0.14136 | loss_orth: 0.00300 | loss_sep: -0.06112 | loss_struc: 0.00644 | test_acc: 84.35897 | test_loss: 0.87696 | test_mf1: 75.88488 | train_acc: 97.77009 | train_loss: 3.30907 | val_acc: 88.59565 | val_loss: 0.56272 | val_mf1: 80.23333
