,W,N1,N2,N3,REM
W,80.87% (7962),2.29% (225),15.39% (1515),0.19% (19),1.27% (125)
N1,13.05% (366),14.41% (404),65.01% (1823),0.53% (15),6.99% (196)
N2,0.46% (81),0.4% (71),96.33% (17145),1.05% (187),1.77% (315)
N3,0.05% (3),0.0% (0),64.02% (3651),35.93% (2049),0.0% (0)
REM,0.53% (41),0.82% (63),57.63% (4447),0.0% (0),41.03% (3166)
